outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alabama Region 2",0.1257903658,0.1007560727,0.1559659615
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alabama Region 2",0.0818035621,0.0665974358,0.1001093091
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alabama Region 2",0.1060128248,0.0804139676,0.1385331425
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alabama Region 2",0.0778552515,0.061063084,0.0987794072
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alabama Region 3",0.1130929414,0.0886432328,0.1432265733
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alabama Region 3",0.0754771635,0.0601564966,0.094308169
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alabama Region 3",0.1025727613,0.0768692892,0.1356083677
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alabama Region 3",0.0701113964,0.0534541222,0.091457839
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alabama Region 4",0.117637172,0.0932463931,0.1473710181
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alabama Region 4",0.0717628396,0.0569749414,0.090022549
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alabama Region 4",0.1077552722,0.0797119207,0.1441194952
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alabama Region 4",0.066471798,0.0507175596,0.0866729152
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alaska",0.1477197225,0.1287874178,0.1688956124
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alaska",0.0772547263,0.0674658231,0.0883294112
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alaska",0.1340733608,0.1138044214,0.1573114481
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alaska",0.0679090606,0.0573236587,0.080282694
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alaska Southeast",0.1537608074,0.1209418392,0.193524966
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alaska Southeast",0.0771910523,0.0616049515,0.0963157137
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alaska Southeast",0.152209345,0.11378314,0.2006741142
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alaska Southeast",0.067242709,0.0515240564,0.0873152616
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alaska Anchorage",0.1507497663,0.1250905351,0.1805859698
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alaska Anchorage",0.0803532461,0.0672391465,0.0957624851
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alaska Anchorage",0.1355871009,0.1067846996,0.170673775
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alaska Anchorage",0.0712264193,0.0573608105,0.0881303492
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alaska Northern",0.1406305984,0.1132322197,0.1733624019
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alaska Northern",0.0781558086,0.0635040246,0.0958421199
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alaska Northern",0.1332228835,0.1027408683,0.1710247629
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alaska Northern",0.0674524609,0.0522032192,0.0867485003
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Alaska South Central",0.1472778461,0.1187975551,0.1811820951
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Alaska South Central",0.0717369599,0.0574982819,0.0891680665
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Alaska South Central",0.1259651189,0.0949309818,0.1652918538
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Alaska South Central",0.0634727467,0.0488810575,0.0820445241
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arizona",0.1405291837,0.1212053389,0.1623646357
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arizona",0.067039273,0.0573996755,0.0781634861
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arizona",0.1163354777,0.0970600429,0.1388502288
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arizona",0.0589284533,0.0483653842,0.0716248761
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arizona Central",0.1386267125,0.1156343476,0.1653361009
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arizona Central",0.0667504887,0.0552109404,0.0804964075
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arizona Central",0.1212177855,0.0960373881,0.15189098
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arizona Central",0.0577439316,0.0454811583,0.0730599625
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arizona South A",0.1404792138,0.109919875,0.177837017
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arizona South A",0.0709624586,0.0559646425,0.0895980366
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arizona South A",0.1131701505,0.0827935053,0.1528347664
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arizona South A",0.0642080655,0.0484570554,0.084623629
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arizona North",0.1496819863,0.1171749798,0.1892737184
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arizona North",0.0644747681,0.0499820756,0.0828034605
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arizona North",0.1149244839,0.0822932607,0.158263351
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arizona North",0.0565990586,0.0416188235,0.0765406366
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arizona South",0.1412403177,0.1164757565,0.1702555784
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arizona South",0.0687460312,0.0562790402,0.0837296966
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arizona South",0.1066864166,0.0832380119,0.1357621108
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arizona South",0.062434188,0.0490467761,0.0791714964
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arizona South B",0.1420081866,0.1121319896,0.1782464688
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arizona South B",0.06604861,0.0506525658,0.0857018852
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arizona South B",0.0993551527,0.0706399792,0.1380096569
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arizona South B",0.0602485185,0.0440606921,0.0818743442
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas",0.1411437482,0.1227088582,0.1618372578
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas",0.0807357154,0.070329061,0.0925289892
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas",0.1250381835,0.1064105211,0.1463924948
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas",0.0735340663,0.0620526607,0.0869429217
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 8",0.1430344043,0.1151401623,0.1763396774
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 8",0.0835700159,0.0671385161,0.1035764604
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 8",0.1359507934,0.1016311654,0.1795435631
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 8",0.075997608,0.0588905359,0.0975589529
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 1",0.1496789191,0.1191913616,0.1863152297
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 1",0.0848300956,0.0680230002,0.1053205954
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 1",0.1237127811,0.0919182973,0.1645125614
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 1",0.0775172324,0.0597162495,0.1000598873
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 2",0.146527556,0.1150279609,0.1848513222
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 2",0.0780325652,0.0610653388,0.099216032
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 2",0.1314535453,0.0981026074,0.1739556203
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 2",0.0705959905,0.0528999417,0.0936265137
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 3",0.1311317564,0.1042106851,0.1637362395
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 3",0.0789662875,0.0635211009,0.097774878
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 3",0.1199704351,0.0898368578,0.1584519388
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 3",0.0722292238,0.0558377382,0.0929587697
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 4",0.1468047021,0.1162877711,0.1836656415
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 4",0.0794718663,0.0624671666,0.1006088073
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 4",0.1269023217,0.0910472903,0.174171668
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 4",0.0719384785,0.0544532501,0.0944773062
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 5",0.1447229293,0.115502864,0.1798321883
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 5",0.0850291841,0.0684864133,0.1051169158
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 5",0.1274993158,0.0963789201,0.1668133348
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 5",0.0772046939,0.0595886285,0.0994776745
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 6",0.1228605386,0.0957295598,0.1563512839
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 6",0.0711968485,0.0554474659,0.0909887794
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 6",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 6",0.0657942767,0.0493059942,0.0872900985
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Arkansas Catchment Area 7",0.1274830492,0.0997513632,0.161540949
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Arkansas Catchment Area 7",0.0734901694,0.0572389279,0.09389591
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Arkansas Catchment Area 7",0.1132121257,0.0809967516,0.156064795
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Arkansas Catchment Area 7",0.0674149393,0.0506588016,0.0891926992
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California",0.1353150576,0.1242199668,0.1472345371
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California",0.0660972416,0.0609155226,0.0716860912
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California",0.1329128628,0.1212860693,0.1454697146
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California",0.0549520761,0.049322009,0.0611834501
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 10",0.1493467865,0.1203876576,0.1838162718
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 10",0.0769070535,0.0625413145,0.0942408792
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 10",0.1543474374,0.1161338877,0.2022576939
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 10",0.0624612351,0.04849628,0.0801089646
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California LA SPA 1 and 5",0.1313096616,0.106391022,0.1610130665
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California LA SPA 1 and 5",0.0723338582,0.059170915,0.0881506263
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California LA SPA 1 and 5",0.1405452657,0.1070221085,0.1824239277
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California LA SPA 1 and 5",0.061143352,0.0481644152,0.0773355782
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California LA SPA 2",0.1391453441,0.1134683239,0.1695217976
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California LA SPA 2",0.0706196673,0.0584140399,0.0851450406
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California LA SPA 2",0.1651697475,0.129026985,0.2090072328
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California LA SPA 2",0.0563314146,0.044407415,0.0712185505
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California LA SPA 3",0.1280619252,0.1020643222,0.1595052695
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California LA SPA 3",0.0558173173,0.0452911448,0.0686140705
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California LA SPA 3",0.1270535365,0.0952745745,0.1674703036
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California LA SPA 3",0.0441778179,0.0341902972,0.0569109335
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California LA SPA 4",0.1260726477,0.1000936826,0.1576134085
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California LA SPA 4",0.0678470616,0.0546279136,0.0839808834
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California LA SPA 4",0.1281281791,0.0954436096,0.169903199
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California LA SPA 4",0.0595579325,0.0464618675,0.076050936
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 11 (Los Angeles)",0.1311845645,0.1173759771,0.1463482913
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 11 (Los Angeles)",0.0645528775,0.058094762,0.0716742807
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 11 (Los Angeles)",0.1372414483,0.1207533991,0.1555824554
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 11 (Los Angeles)",0.0525063617,0.0458595691,0.06005589
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California LA SPA 6",0.1309105288,0.1057724973,0.1609476065
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California LA SPA 6",0.0648392547,0.0525991277,0.0796881499
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California LA SPA 6",0.1316123224,0.0980350248,0.17446546
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California LA SPA 6",0.0493600343,0.038379277,0.0632757848
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California LA SPA 7",0.1327278004,0.1070824398,0.163391142
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California LA SPA 7",0.0602239703,0.047946827,0.0753958129
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California LA SPA 7",0.1284958233,0.09557544,0.1706163307
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California LA SPA 7",0.0472446965,0.0360402356,0.0617094939
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California LA SPA 8",0.1253791231,0.101252665,0.1542676526
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California LA SPA 8",0.0611523836,0.0497398316,0.0749768803
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California LA SPA 8",0.127451085,0.096110749,0.1671215305
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California LA SPA 8",0.0507976142,0.0397296587,0.0647410225
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 12R",0.1493025389,0.1192312635,0.1853619355
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 12R",0.0717756461,0.0579268325,0.0886238878
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 12R",0.1420356074,0.1068212293,0.1864355474
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 12R",0.0592365416,0.0456829025,0.0764891002
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 15R (Fresno)",0.1299091216,0.1047482947,0.1600332891
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 15R (Fresno)",0.0666823361,0.0540983233,0.0819399892
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 15R (Fresno)",0.1248418039,0.094050407,0.1638903974
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 15R (Fresno)",0.0548228735,0.0424979789,0.070459103
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 16R (San Diego)",0.129528167,0.1065374007,0.1566106791
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 16R (San Diego)",0.0672016947,0.055903151,0.0805888536
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 16R (San Diego)",0.1160040155,0.090025669,0.1482574682
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 16R (San Diego)",0.0589164929,0.047170917,0.0733615427
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 17R",0.1405608272,0.1148218546,0.170955242
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 17R",0.0608949515,0.0495497891,0.0746337787
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 17R",0.1010836706,0.0751525636,0.1346594458
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 17R",0.0526811899,0.0413240736,0.066941638
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 18R (San Bernardino)",0.1408793532,0.1162035594,0.1697883947
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 18R (San Bernardino)",0.0655110471,0.0537031544,0.0796965271
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 18R (San Bernardino)",0.1159093471,0.0885562257,0.1503178632
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 18R (San Bernardino)",0.0554267789,0.0438283204,0.0698702963
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 1R",0.1518214836,0.1235727457,0.1851635685
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 1R",0.0771912547,0.0634205935,0.0936529818
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 1R",0.1468695777,0.1136010193,0.1878165959
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 1R",0.0664000868,0.0526434884,0.0834349072
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 20R",0.1388888078,0.1123536573,0.1704872324
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 20R",0.0649450387,0.0522602552,0.0804473683
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 20R",0.1167128605,0.0877884474,0.1535629589
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 20R",0.0548417084,0.0422985131,0.0708293714
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 14 (Orange)",0.1303357483,0.1075411733,0.1571113277
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 14 (Orange)",0.0629779539,0.0518571692,0.0762916983
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 14 (Orange)",0.131626019,0.1019237274,0.1683613751
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 14 (Orange)",0.0520095568,0.0410844385,0.0656409977
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 21R",0.1370102449,0.1103722796,0.1688569296
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 21R",0.0680877444,0.055422863,0.083391221
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 21R",0.1350521313,0.1029678277,0.1751813802
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 21R",0.055791374,0.0435357534,0.0712400693
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 2R",0.1401820228,0.112477226,0.1733778293
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 2R",0.0663035418,0.0529970548,0.082659399
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 2R",0.1395458717,0.1024432905,0.1872822659
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 2R",0.0537618358,0.0412749304,0.0697515629
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 3R (Sacramento)",0.1277235228,0.1035415855,0.156566742
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 3R (Sacramento)",0.0650725331,0.0528759038,0.0798453275
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 3R (Sacramento)",0.1243576373,0.095124122,0.1609769326
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 3R (Sacramento)",0.055543062,0.0433132252,0.0709699232
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 4R",0.1332060539,0.1072918739,0.1642278287
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 4R",0.0641846286,0.051602288,0.079577532
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 4R",0.1317272719,0.0976297169,0.1754185075
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 4R",0.0546272554,0.0422878358,0.0703029583
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 5R (San Francisco)",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 5R (San Francisco)",0.0738028774,0.0588000282,0.0922584819
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 5R (San Francisco)",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 5R (San Francisco)",0.0659002604,0.051076795,0.0846420453
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 7R (Contra Costa)",0.1341307306,0.1084296889,0.1647976523
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 7R (Contra Costa)",0.0619029363,0.0500945956,0.0762712542
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 7R (Contra Costa)",0.1320431193,0.0986348043,0.1745754696
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 7R (Contra Costa)",0.0514677934,0.0402077018,0.0656655107
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 8R (Alameda)",0.1357646421,0.1095046067,0.1671400615
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 8R (Alameda)",0.0695782292,0.0568151355,0.0849502209
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 8R (Alameda)",0.161268346,0.1226724645,0.209113103
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 8R (Alameda)",0.056444857,0.04428046,0.0717002633
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 9R (San Mateo)",0.1274684344,0.1018988372,0.1583231499
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 9R (San Mateo)",0.0581385997,0.0468947116,0.0718751168
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 9R (San Mateo)",0.140670545,0.1043225619,0.1870382558
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 9R (San Mateo)",0.0480412172,0.037294151,0.0616868245
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Regions 13 and 19R",0.1423312743,0.1186934485,0.1697697571
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Regions 13 and 19R",0.0692687533,0.0572425104,0.0835975791
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Regions 13 and 19R",0.1350360598,0.1050089732,0.1719992356
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Regions 13 and 19R",0.0565696806,0.0447266297,0.0713145177
Major Depressive Episode in the Past Year,12 to 17,2016-18,"California Region 6 (Santa Clara)",0.1358858142,0.1107267321,0.1656963272
Major Depressive Episode in the Past Year,18 or Older,2016-18,"California Region 6 (Santa Clara)",0.0626019118,0.051753045,0.0755438205
Major Depressive Episode in the Past Year,18 to 25,2016-18,"California Region 6 (Santa Clara)",0.1478881892,0.1142748015,0.1892759357
Major Depressive Episode in the Past Year,26 or Older,2016-18,"California Region 6 (Santa Clara)",0.0503882462,0.0399281576,0.0634076135
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Colorado",0.1388447134,0.1196492834,0.1605580366
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Colorado",0.0804187944,0.0700625575,0.0921541318
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Colorado",0.1622772067,0.138523032,0.1892101282
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Colorado",0.0672750825,0.0562111725,0.0803313201
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Colorado Region 5",0.1349981287,0.1054852829,0.171187913
Major Depressive Episode in the Past Year,18 or Older,2016-18,"Colorado Region 5",0.0864213671,0.0692836846,0.1073093874
Major Depressive Episode in the Past Year,18 to 25,2016-18,"Colorado Region 5",0.1713580532,0.1296235802,0.2230855794
Major Depressive Episode in the Past Year,26 or Older,2016-18,"Colorado Region 5",0.0744134878,0.0570699012,0.0964884588
Major Depressive Episode in the Past Year,12 to 17,2016-18,"Colorado Region 6",0.1310622716,0.1035077054,0.1646052541
