outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alaska Anchorage",0.0798746476,0.062376627,0.101748582
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alaska Anchorage",0.0771478037,0.0609564787,0.0971947402
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alaska Anchorage",0.1188756664,0.0949300903,0.1478745128
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alaska Anchorage",0.0690999243,0.0514905428,0.0921465261
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alaska Northern",0.0742533065,0.0557681546,0.0982282185
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alaska Northern",0.0597420312,0.044467034,0.0798258351
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alaska Northern",0.088435855,0.0670732333,0.1157581708
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alaska Northern",0.0531213025,0.0366807445,0.0763466275
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Alaska South Central",0.0771421114,0.058192437,0.1015968576
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Alaska South Central",0.0639890429,0.0474474136,0.0857782768
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Alaska South Central",0.0928441259,0.0699493308,0.1222475404
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Alaska South Central",0.0596268093,0.0421988884,0.0836239571
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arizona",0.0939906799,0.0787556798,0.1118151273
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arizona",0.0734902879,0.0608242537,0.0885452257
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arizona",0.0936611371,0.0779353375,0.1121740592
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arizona",0.0700005149,0.0560025071,0.087174266
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arizona Central",0.0921100998,0.0734158717,0.1149738645
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arizona Central",0.0738824424,0.0582274059,0.0933293839
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arizona Central",0.0945420053,0.0748481878,0.1187524649
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arizona Central",0.0702589029,0.0531888801,0.0922733448
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arizona South A",0.1013359888,0.0761154387,0.1337038888
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arizona South A",0.080375311,0.0580694824,0.1102464763
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arizona South A",0.1010907705,0.0760743711,0.1331480761
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arizona South A",0.0765932272,0.0525009043,0.1104525541
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arizona Rural North",0.0852898365,0.0639991948,0.1128096095
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arizona Rural North",0.0677530254,0.0487968301,0.0933504759
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arizona Rural North",0.0904769592,0.0672077684,0.120759599
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arizona Rural North",0.0640627906,0.0437647094,0.0928608988
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arizona Rural South",0.1017477069,0.0750896634,0.1364733389
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arizona Rural South",0.0686489148,0.0480887181,0.0971028666
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arizona Rural South",0.0825493148,0.0604744296,0.1117239457
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arizona Rural South",0.0664118952,0.0443167091,0.0983890559
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas",0.0860593278,0.0735089429,0.1005199947
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas",0.0760220209,0.0645178335,0.0893815274
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas",0.0874234257,0.0745774366,0.1022376861
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas",0.0740785222,0.0610484348,0.0896242699
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 8",0.0855682205,0.0654706245,0.1111017511
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 8",0.0809760994,0.0599953598,0.1084474569
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 8",0.0884820446,0.067504972,0.1151725996
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 8",0.0798321957,0.0569723418,0.1107868734
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 1",0.0922629273,0.0690229839,0.1222997984
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 1",0.0699969068,0.0516839677,0.0941543445
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 1",0.0856243288,0.0643087437,0.1131507379
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 1",0.066947905,0.0470605218,0.0944069289
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 2",0.0893913695,0.0676141612,0.1173001849
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 2",0.0728545622,0.0526540789,0.0999869147
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 2",0.0881909405,0.0651248053,0.1183921216
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 2",0.0706763583,0.0490857031,0.100757533
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 3",0.086441466,0.0661150601,0.1122657863
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 3",0.0758680676,0.0551539283,0.1035095392
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 3",0.0817120207,0.0608557274,0.1088873811
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 3",0.0748367368,0.052156207,0.106274232
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 4",0.0832840959,0.0618220925,0.111312786
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 4",0.0688635102,0.0494211272,0.0951886506
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 4",0.0886637597,0.0657229267,0.1185957056
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 4",0.0657776384,0.045084871,0.0950227591
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 5",0.081800725,0.0611090046,0.1086876733
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 5",0.0843445989,0.062614783,0.1127088002
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 5",0.0992547282,0.0754697429,0.1294859039
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 5",0.0812979547,0.0575194979,0.1137202922
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 6",0.0810457974,0.0603880888,0.1079582137
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 6",0.0734159228,0.0521200963,0.1024723723
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 6",0.0754964574,0.0553510597,0.1021808166
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 6",0.0730594323,0.0497809669,0.1060089156
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Arkansas Catchment Area 7",0.0845953472,0.0629977212,0.1127066995
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Arkansas Catchment Area 7",0.075745734,0.0551997038,0.1031046975
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Arkansas Catchment Area 7",0.0811146724,0.0603909441,0.1081315391
Major Depressive Episode in the Past Year,26 or Older,2010-12,"Arkansas Catchment Area 7",0.0748947823,0.0525962634,0.1055932451
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California",0.0863047662,0.0779069811,0.0955140033
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California",0.062858627,0.0563808762,0.0700253939
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California",0.0877549631,0.0792098026,0.0971247395
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California",0.0581953764,0.0508343702,0.0665475517
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 10",0.0957320432,0.0726424392,0.1251701481
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 10",0.0699045723,0.051995155,0.093375176
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 10",0.1006309998,0.0767277326,0.1309249602
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 10",0.0634375043,0.0445991533,0.0894877247
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California LA SPA 1 and 5",0.0899368289,0.0684597302,0.117303249
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California LA SPA 1 and 5",0.0714578782,0.0531264617,0.0954767915
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California LA SPA 1 and 5",0.0932236306,0.0701473626,0.1228879986
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California LA SPA 1 and 5",0.0672491846,0.0478226069,0.0937899424
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California LA SPA 2",0.090642207,0.0714229441,0.1143960671
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California LA SPA 2",0.0654211643,0.0491438453,0.0865988083
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California LA SPA 2",0.0885397694,0.0679912235,0.1145353853
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California LA SPA 2",0.0614063041,0.0441040478,0.0848935048
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California LA SPA 3",0.0815047977,0.0622983714,0.1059633899
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California LA SPA 3",0.0520353537,0.0382811692,0.0703697358
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California LA SPA 3",0.077949887,0.0590716976,0.1022058556
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California LA SPA 3",0.0472561048,0.0328449345,0.0675487531
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California LA SPA 4",0.0871155414,0.0656846444,0.1146804388
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California LA SPA 4",0.0628774353,0.0464417437,0.084613572
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California LA SPA 4",0.081955692,0.0625351278,0.1067208154
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California LA SPA 4",0.0594247647,0.0418831508,0.0836716119
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 11 (Los Angeles)",0.0876692031,0.0770300591,0.0996191895
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 11 (Los Angeles)",0.0619671929,0.0534829793,0.0716953444
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 11 (Los Angeles)",0.0837811011,0.0729599652,0.0960409136
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 11 (Los Angeles)",0.0577866054,0.0483971916,0.0688658079
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California LA SPA 6",0.0840521285,0.0637150398,0.1101171228
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California LA SPA 6",0.0546221523,0.0399463766,0.0742724994
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California LA SPA 6",0.071947273,0.0539266007,0.0953827869
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California LA SPA 6",0.0500261196,0.0341652103,0.0726961038
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California LA SPA 7",0.0938005776,0.0725278184,0.1205020836
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California LA SPA 7",0.0692802107,0.0512014655,0.0931159116
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California LA SPA 7",0.0923475107,0.0703572718,0.1203212577
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California LA SPA 7",0.064392778,0.0450208919,0.091303194
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California LA SPA 8",0.0866997192,0.0674437815,0.1108002275
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California LA SPA 8",0.0596103377,0.0442590886,0.0798413541
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California LA SPA 8",0.0801771877,0.0609554526,0.104783953
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California LA SPA 8",0.0559968645,0.0396932655,0.0784499411
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 12R",0.0949398652,0.0716798373,0.1247335805
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 12R",0.0746299869,0.0544257389,0.1015292416
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 12R",0.0983679071,0.0737139229,0.1301093259
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 12R",0.0702846104,0.0488530014,0.1001284217
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 15R (Fresno)",0.0875510175,0.0662584343,0.114844525
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 15R (Fresno)",0.0648540856,0.0484779772,0.0862606274
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 15R (Fresno)",0.0874813844,0.0654300147,0.1160417792
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 15R (Fresno)",0.0597248133,0.0423797619,0.0835494313
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 16R (San Diego)",0.0844252085,0.0671704377,0.1056105752
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 16R (San Diego)",0.0620766394,0.0486039584,0.0789738568
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 16R (San Diego)",0.0867804518,0.0685720926,0.1092566427
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 16R (San Diego)",0.0570326645,0.0425919565,0.0759809035
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 17R",0.0890993034,0.069201212,0.1140180319
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 17R",0.0596709679,0.0446708223,0.0792900023
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 17R",0.0801211172,0.0609574457,0.104638094
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 17R",0.0552050908,0.0390859177,0.0774361656
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 18R (San Bernardino)",0.0853856645,0.0669841514,0.1082557994
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 18R (San Bernardino)",0.0634577988,0.0478949295,0.083633425
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 18R (San Bernardino)",0.0871375258,0.0681197902,0.1108331756
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 18R (San Bernardino)",0.058332277,0.0414329425,0.0815380604
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 1R",0.0863191412,0.0652924345,0.1132964986
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 1R",0.0634594038,0.0468619198,0.0854086026
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 1R",0.0929282376,0.0694502666,0.1232914649
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 1R",0.0581858867,0.0409328656,0.0820885478
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 20R",0.0870694677,0.0673635188,0.1118486918
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 20R",0.0626508575,0.0460129303,0.0847703441
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 20R",0.0879867974,0.0670888466,0.1145947735
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 20R",0.0573774507,0.0398109235,0.0820329706
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 14 (Orange)",0.0835710012,0.0651761772,0.106565619
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 14 (Orange)",0.055383207,0.0422034963,0.0723678213
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 14 (Orange)",0.0775257493,0.0604800876,0.0988699861
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 14 (Orange)",0.0513952077,0.0373786812,0.0702839937
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 21R",0.0907771414,0.0685505787,0.1192874246
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 21R",0.0710777115,0.0532550951,0.0942710151
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 21R",0.1021596523,0.078036621,0.1326666697
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 21R",0.0641754205,0.0451659675,0.0904278636
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 2R",0.08763655,0.0665448876,0.1145926243
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 2R",0.0693754894,0.0514360558,0.0929585292
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 2R",0.1017733098,0.0775801949,0.1324278269
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 2R",0.0635138729,0.0445494393,0.089792654
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 3R (Sacramento)",0.0839227212,0.0637799544,0.1096816437
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 3R (Sacramento)",0.072746139,0.0543652378,0.096706088
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 3R (Sacramento)",0.1002701782,0.0763323937,0.1306529861
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 3R (Sacramento)",0.0677294696,0.0482691544,0.0942584279
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 4R",0.0743430747,0.0562547368,0.0976458189
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 4R",0.052740845,0.0386048987,0.0716670912
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 4R",0.0815860055,0.0617041679,0.1071425038
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 4R",0.0484071139,0.0336524125,0.0691678896
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 5R (San Francisco)",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 5R (San Francisco)",0.0774453184,0.0560142774,0.1061538103
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 5R (San Francisco)",0.0990418726,0.0752762314,0.1292618056
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 5R (San Francisco)",0.074434958,0.0518430622,0.1057735546
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 7R (Contra Costa)",0.0897665596,0.0690334026,0.115951058
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 7R (Contra Costa)",0.0651366149,0.047532163,0.0886543286
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 7R (Contra Costa)",0.0903954287,0.0680933504,0.1190686528
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 7R (Contra Costa)",0.0613875863,0.0429449912,0.0870300794
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 8R (Alameda)",0.0825716656,0.0630234942,0.1074875797
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 8R (Alameda)",0.0639938716,0.04811093,0.0846539606
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 8R (Alameda)",0.0878164983,0.0674698974,0.1135517894
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 8R (Alameda)",0.0600657157,0.0431630858,0.0830131465
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 9R (San Mateo)",0.0817490953,0.0615070795,0.1078869614
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 9R (San Mateo)",0.0563869886,0.040891738,0.0772807955
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 9R (San Mateo)",0.0821077271,0.0614251498,0.1089460126
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 9R (San Mateo)",0.0530918015,0.0369810896,0.075669613
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Regions 13 and 19R",0.0872284634,0.0688930524,0.1098679102
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Regions 13 and 19R",0.0628565248,0.0489913666,0.0803143035
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Regions 13 and 19R",0.090490423,0.0724696022,0.1124491558
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Regions 13 and 19R",0.0573438463,0.0422997628,0.0773065228
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 19R (Imperial)",0.0888280896,0.0663233209,0.1180040317
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 19R (Imperial)",0.0636538687,0.0456938517,0.0880219724
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 19R (Imperial)",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 19R (Imperial)",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 6 (Santa Clara)",0.0801118044,0.0613777456,0.1039308278
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 6 (Santa Clara)",0.0563041542,0.0415379245,0.0759038966
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 6 (Santa Clara)",0.0877446996,0.067257389,0.1137118556
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 6 (Santa Clara)",0.0515085014,0.0361126733,0.072971093
Major Depressive Episode in the Past Year,12 to 17,2010-12,"California Region 13 (Riverside)",0.0870989613,0.0677066665,0.1113819521
Major Depressive Episode in the Past Year,18 or Older,2010-12,"California Region 13 (Riverside)",0.062794031,0.0481734366,0.0814721462
Major Depressive Episode in the Past Year,18 to 25,2010-12,"California Region 13 (Riverside)",0.0908428495,0.0717191382,0.1144372131
Major Depressive Episode in the Past Year,26 or Older,2010-12,"California Region 13 (Riverside)",0.0572232342,0.0413998147,0.0785986379
Major Depressive Episode in the Past Year,12 to 17,2010-12,"Colorado",0.0821016562,0.0683283387,0.0983582311
Major Depressive Episode in the Past Year,18 or Older,2010-12,"Colorado",0.066069347,0.0549283505,0.0792804845
Major Depressive Episode in the Past Year,18 to 25,2010-12,"Colorado",0.0901617153,0.075758449,0.1069863625
