outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alabama Region 1",0.1096993939,0.0856387505,0.1394887439
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alabama Region 1",0.0684407958,0.0542254962,0.0860436275
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alabama Region 1",0.0900753392,0.0686637538,0.1173226554
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alabama Region 1",0.0651776839,0.0498117031,0.0848604473
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alabama Region 2",0.1101139806,0.0875670074,0.137590968
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alabama Region 2",0.0660446726,0.0532399619,0.0816633991
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alabama Region 2",0.0881921214,0.0687517085,0.1124656879
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alabama Region 2",0.0621212185,0.0479045721,0.0802015391
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alabama Region 3",0.0936363005,0.0720084916,0.1209136453
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alabama Region 3",0.0612054452,0.0483351449,0.0772246569
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alabama Region 3",0.077656704,0.0592955895,0.1010924106
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alabama Region 3",0.057659222,0.0431993868,0.0765717553
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alabama Region 4",0.1020703817,0.0796497256,0.1299113899
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alabama Region 4",0.067005474,0.0527178321,0.0848186501
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alabama Region 4",0.0809755872,0.0617383155,0.1055328609
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alabama Region 4",0.0648410902,0.0492781926,0.0848802048
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alaska",0.0966382005,0.0814762734,0.1142706002
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alaska",0.0690954009,0.0592766448,0.080401559
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alaska",0.1028464219,0.0863167333,0.1221184749
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alaska",0.0627258905,0.0520675557,0.075392483
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alaska Southeast",0.0958871261,0.0726246903,0.1255916661
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alaska Southeast",0.0672737034,0.0528212282,0.0853243176
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alaska Southeast",0.1006339104,0.0757505992,0.1325191607
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alaska Southeast",0.0624152278,0.0469883786,0.082468614
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alaska Anchorage",0.1006428107,0.079619078,0.126455212
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alaska Anchorage",0.0735313545,0.0602928889,0.0894000425
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alaska Anchorage",0.1088002102,0.0866487459,0.1357728062
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alaska Anchorage",0.0666420338,0.0520627032,0.0849382497
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alaska Northern",0.0943967059,0.0719981174,0.1228410964
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alaska Northern",0.0644054962,0.0512558606,0.0806419118
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alaska Northern",0.0950532902,0.0733116182,0.1223911969
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alaska Northern",0.057275356,0.0429600398,0.0759821586
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Alaska South Central",0.0929425059,0.0728722089,0.1178379454
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Alaska South Central",0.0667512009,0.053347484,0.0832265629
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Alaska South Central",0.1014956533,0.0774948624,0.131867143
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Alaska South Central",0.0611494506,0.0469026102,0.0793634722
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arizona",0.1227373389,0.1037639175,0.1446202608
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arizona",0.071151236,0.0603166817,0.0837585048
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arizona",0.0852128855,0.0699730931,0.1034027973
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arizona",0.0687117918,0.056782158,0.0829274214
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arizona Central",0.1287426856,0.1048061311,0.1571861656
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arizona Central",0.070304993,0.0574065681,0.0858375918
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arizona Central",0.085376136,0.0672695412,0.1077931538
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arizona Central",0.0676770239,0.0534362122,0.0853707392
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arizona South A",0.1170162718,0.0885930802,0.1530273388
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arizona South A",0.0750994557,0.0580408763,0.0966571964
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arizona South A",0.0848056085,0.0635684375,0.112287013
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arizona South A",0.0733663748,0.0544876602,0.0981074221
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arizona Rural North",0.1124168926,0.0854319754,0.1465594815
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arizona Rural North",0.0708443986,0.054663248,0.0913525469
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arizona Rural North",0.0905104215,0.0669775379,0.1212373
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arizona Rural North",0.0675397794,0.0498137441,0.0909696629
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arizona Rural South",0.1092492589,0.0836001044,0.1415522265
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arizona Rural South",0.0705403457,0.0546421414,0.0906207497
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arizona Rural South",0.080472252,0.0592055869,0.1084969443
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arizona Rural South",0.0688688921,0.0513347088,0.0918125262
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas",0.1076244119,0.0916071003,0.1260536912
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas",0.0717054738,0.0613725807,0.0836230579
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas",0.0899322063,0.0757585295,0.1064522151
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas",0.0686179051,0.0573416096,0.0819189923
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 8",0.104777974,0.0812788463,0.1340795803
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 8",0.0725566731,0.0574053236,0.0913195875
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 8",0.0864270397,0.0661699361,0.112140889
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 8",0.0704472106,0.0538200074,0.0917133246
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 1",0.1210557927,0.0922130926,0.1573562102
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 1",0.0709919432,0.0560878225,0.0894810676
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 1",0.0924578161,0.071304406,0.1190820007
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 1",0.0668034933,0.0505488049,0.0878017415
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 2",0.1117241918,0.0855111723,0.1447012139
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 2",0.0763200205,0.0595510574,0.0973222982
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 2",0.0992705815,0.0746350652,0.1308876002
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 2",0.0731225518,0.0550857825,0.0964622144
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 3",0.1011166528,0.0777155275,0.130566606
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 3",0.0722233222,0.0570794844,0.0909972489
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 3",0.0858362027,0.0650088882,0.1125330037
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 3",0.0698542061,0.0532591229,0.0911224837
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 4",0.1091258258,0.0833282593,0.1416756782
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 4",0.0688948986,0.0536515702,0.0880660896
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 4",0.0926069342,0.0692909675,0.122733954
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 4",0.0651931093,0.0486716766,0.0868109293
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 5",0.1040177529,0.0791279354,0.135583985
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 5",0.0700320902,0.0549822174,0.0888142962
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 5",0.0968010862,0.0740902107,0.1255297169
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 5",0.064739592,0.0482685772,0.0863213463
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 6",0.0965839944,0.0725060718,0.1275580833
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 6",0.0703530007,0.054194629,0.090866214
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 6",0.0769235247,0.057184788,0.1027331647
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 6",0.0692064422,0.0513376536,0.0926870514
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Arkansas Catchment Area 7",0.1039097081,0.0796108454,0.1345409488
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Arkansas Catchment Area 7",0.0704645189,0.0546735078,0.0903803013
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Arkansas Catchment Area 7",0.0807901835,0.0611755992,0.1059837825
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Arkansas Catchment Area 7",0.0688079565,0.0514184584,0.0915111525
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California",0.1100653182,0.1002694373,0.1206898396
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California",0.0646168319,0.0585791485,0.0712297279
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California",0.0927157852,0.0832223042,0.1031703518
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California",0.0594462607,0.0527511593,0.0669310542
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 10",0.1132786011,0.0877635618,0.1450321643
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 10",0.064601696,0.0519580376,0.080062276
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 10",0.095404572,0.0745940272,0.1212601653
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 10",0.0582536755,0.0443941808,0.0760954421
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California LA SPA 1 and 5",0.100063145,0.0767784413,0.1294195221
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California LA SPA 1 and 5",0.0675940614,0.054392463,0.083716151
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California LA SPA 1 and 5",0.0971880959,0.0747376395,0.1254679599
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California LA SPA 1 and 5",0.0620445011,0.0479957471,0.0798604843
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California LA SPA 2",0.1167367692,0.0939263887,0.1442050906
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California LA SPA 2",0.0650293201,0.0530950097,0.0794211442
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California LA SPA 2",0.0958922124,0.075873501,0.1205039907
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California LA SPA 2",0.0598076185,0.0467767723,0.0761784315
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California LA SPA 3",0.1060578375,0.0840178411,0.1330397382
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California LA SPA 3",0.0615139564,0.0493965297,0.0763651081
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California LA SPA 3",0.098187626,0.0771357358,0.1242116936
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California LA SPA 3",0.054908358,0.0418538378,0.0717298512
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California LA SPA 4",0.1101334767,0.0857572669,0.1403746705
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California LA SPA 4",0.0674965821,0.0541898121,0.0837814941
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California LA SPA 4",0.0883496828,0.0688169843,0.1127551323
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California LA SPA 4",0.0639709299,0.049310908,0.0826106185
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 11 (Los Angeles)",0.1078978192,0.0960057448,0.1210656699
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 11 (Los Angeles)",0.0650865083,0.0577313758,0.0733058036
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 11 (Los Angeles)",0.0913660235,0.0798113851,0.1044036808
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 11 (Los Angeles)",0.0601757208,0.0520682917,0.0694530456
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California LA SPA 6",0.1044822137,0.080898134,0.1339397673
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California LA SPA 6",0.0626104552,0.0508735012,0.0768360157
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California LA SPA 6",0.08684952,0.0668791337,0.1120669666
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California LA SPA 6",0.0562296678,0.0433668928,0.0726179803
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California LA SPA 7",0.1082215744,0.0855713634,0.1359756438
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California LA SPA 7",0.0660444676,0.0531695056,0.0817678535
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California LA SPA 7",0.0871199875,0.0677370786,0.1113866164
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California LA SPA 7",0.061656488,0.0473274193,0.0799597665
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California LA SPA 8",0.1037083446,0.0817577503,0.1307133765
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California LA SPA 8",0.0663765996,0.0531450379,0.0826150017
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California LA SPA 8",0.0826596029,0.0641354463,0.1059284776
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California LA SPA 8",0.0635476761,0.0489589455,0.0821082298
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 12R",0.1119729097,0.0860405614,0.1444855838
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 12R",0.0659277508,0.0526517366,0.0822606084
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 12R",0.0942677585,0.0726340595,0.1215007417
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 12R",0.0606732571,0.0462310858,0.0792521459
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 15R (Fresno)",0.1112525793,0.0864734209,0.1420283259
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 15R (Fresno)",0.0643446266,0.0520958429,0.0792326209
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 15R (Fresno)",0.0923120343,0.0715096481,0.1183942611
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 15R (Fresno)",0.058092523,0.0444577812,0.0755781547
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 16R (San Diego)",0.1032337916,0.0827841675,0.1280298308
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 16R (San Diego)",0.064764254,0.0535017417,0.0782017244
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 16R (San Diego)",0.0906667106,0.0716330248,0.1141360782
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 16R (San Diego)",0.0596845853,0.0474090899,0.0748886616
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 17R",0.0986212894,0.0778660688,0.1241639025
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 17R",0.063214496,0.050942953,0.0781985375
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 17R",0.0850522489,0.0657506526,0.1093567356
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 17R",0.0584448255,0.044973056,0.0756325032
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 18R (San Bernardino)",0.1112930896,0.0891403835,0.1381162903
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 18R (San Bernardino)",0.0643400445,0.0521029981,0.079210948
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 18R (San Bernardino)",0.0857545835,0.0672035948,0.1088289701
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 18R (San Bernardino)",0.0597131547,0.0460088752,0.0771692184
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 1R",0.115527501,0.0905458129,0.1462929545
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 1R",0.0688520732,0.0550662832,0.0857758361
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 1R",0.1040813432,0.0807224834,0.1332200511
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 1R",0.0627231742,0.0479313594,0.0816881397
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 20R",0.1112388043,0.0870309828,0.1411391264
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 20R",0.0658186815,0.0531118591,0.0813045309
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 20R",0.0904505214,0.069774999,0.116485375
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 20R",0.0607017755,0.0467065161,0.0785450872
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 14 (Orange)",0.1193186669,0.0969509414,0.1460124983
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 14 (Orange)",0.0626226158,0.0514751647,0.0759907526
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 14 (Orange)",0.0935380145,0.0745778316,0.1167105921
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 14 (Orange)",0.0571854949,0.0450965587,0.072269824
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 21R",0.1147396253,0.0877428575,0.1486889146
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 21R",0.0685640707,0.0551719398,0.0849147794
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 21R",0.0987702884,0.076709469,0.1263076308
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 21R",0.0621445649,0.047341705,0.0811815723
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 2R",0.1154421217,0.089953073,0.1469871724
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 2R",0.0721199113,0.0577932328,0.0896601464
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 2R",0.1103943751,0.0863695438,0.1400774234
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 2R",0.065195633,0.0496626082,0.0851516287
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 3R (Sacramento)",0.1152129868,0.0901615763,0.1461071723
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 3R (Sacramento)",0.0669122906,0.054039184,0.0825842821
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 3R (Sacramento)",0.0903670206,0.0702584672,0.1155157488
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 3R (Sacramento)",0.0627105231,0.0485601928,0.0806347706
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 4R",0.1104246075,0.0876043147,0.138288433
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 4R",0.0634546146,0.0512622551,0.0783074886
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 4R",0.1001947845,0.0785375749,0.1270009919
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 4R",0.0579234194,0.0448800168,0.0744620707
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 5R (San Francisco)",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 5R (San Francisco)",0.0674602353,0.0536661934,0.0844832908
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 5R (San Francisco)",0.1014114392,0.0790635315,0.129190024
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 5R (San Francisco)",0.0632199972,0.0485698965,0.0819085738
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 7R (Contra Costa)",0.1064792478,0.0824937039,0.136401946
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 7R (Contra Costa)",0.0646392506,0.0513455354,0.0810806304
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 7R (Contra Costa)",0.0884908011,0.0688226635,0.1130970236
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 7R (Contra Costa)",0.0610064554,0.0465312837,0.0796086593
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 8R (Alameda)",0.1106477868,0.087191617,0.1394500997
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 8R (Alameda)",0.0636359011,0.0512508457,0.0787654018
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 8R (Alameda)",0.0965577605,0.0764529644,0.1212553644
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 8R (Alameda)",0.0583429217,0.0449005678,0.0754915651
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 9R (San Mateo)",0.108147978,0.0843692237,0.1376212724
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 9R (San Mateo)",0.0599311656,0.0477621109,0.07495665
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 9R (San Mateo)",0.0963671827,0.0742990167,0.1241111983
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 9R (San Mateo)",0.0552753221,0.0424011973,0.0717654248
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Regions 13 and 19R",0.1116977275,0.0898299061,0.1380813495
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Regions 13 and 19R",0.0630269842,0.0516409942,0.0767203096
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Regions 13 and 19R",0.0880693541,0.0706048157,0.1093456001
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Regions 13 and 19R",0.0579722064,0.0453150453,0.0738910704
Major Depressive Episode in the Past Year,12 to 17,2012-14,"California Region 6 (Santa Clara)",0.1108199908,0.0868657775,0.1403644463
Major Depressive Episode in the Past Year,18 or Older,2012-14,"California Region 6 (Santa Clara)",0.0591874928,0.047252102,0.0739037877
Major Depressive Episode in the Past Year,18 to 25,2012-14,"California Region 6 (Santa Clara)",0.0961725198,0.075059948,0.1224374596
Major Depressive Episode in the Past Year,26 or Older,2012-14,"California Region 6 (Santa Clara)",0.0535907809,0.040859654,0.0699991952
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Colorado",0.1049042693,0.0889350589,0.123352683
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Colorado",0.0629672717,0.0532065471,0.0743779326
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Colorado",0.0832558398,0.0690878188,0.1000171703
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Colorado",0.0595470621,0.0488767205,0.0723696152
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Colorado Region 1",0.1084899818,0.0818510511,0.142453571
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Colorado Region 1",0.0660392531,0.0518161881,0.083821288
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Colorado Region 1",0.0908075529,0.0688980058,0.1187954103
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Colorado Region 1",0.0610288255,0.0453169438,0.0817218787
Major Depressive Episode in the Past Year,12 to 17,2012-14,"Colorado Region 3",0.1014154294,0.0778148763,0.1311558104
Major Depressive Episode in the Past Year,18 or Older,2012-14,"Colorado Region 3",0.0614532153,0.0483717834,0.0777831676
Major Depressive Episode in the Past Year,18 to 25,2012-14,"Colorado Region 3",0.0798999776,0.0604126682,0.1049710303
Major Depressive Episode in the Past Year,26 or Older,2012-14,"Colorado Region 3",0.0580893729,0.0438481679,0.0765854234
