outcome,age_group,years,geography,estimate,ci_lower,ci_upper
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alabama Region 2",0.0714042668,0.0572416826,0.0887410846
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alabama Region 2",0.1013235856,0.0788191543,0.1293512219
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alabama Region 2",0.0663155314,0.0510609254,0.0857158394
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alabama Region 3",0.1010926138,0.078286201,0.1296087548
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alabama Region 3",0.0623685336,0.0492340085,0.0787169472
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alabama Region 3",0.0835322817,0.0633969389,0.1093163471
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alabama Region 3",0.0580392696,0.0436198557,0.0768423244
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alabama Region 4",0.1101545357,0.0857356712,0.1404597882
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alabama Region 4",0.0664479026,0.051924117,0.0846713479
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alabama Region 4",0.088080887,0.0669100963,0.1151237896
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alabama Region 4",0.063158503,0.0475068884,0.0835145682
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alaska",0.1368512509,0.1176085514,0.1586762077
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alaska",0.0693080213,0.0601987826,0.0796787992
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alaska",0.1179802207,0.0995876598,0.139244342
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alaska",0.0602806759,0.0502798438,0.0721196522
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alaska Southeast",0.1413780429,0.1091172748,0.1812364264
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alaska Southeast",0.0699933798,0.0545456715,0.0894022943
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alaska Southeast",0.1369548068,0.1033621518,0.1792820943
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alaska Southeast",0.0602133946,0.0443373241,0.0812907201
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alaska Anchorage",0.1410370035,0.1140310514,0.1731885213
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alaska Anchorage",0.0751736468,0.0625535615,0.0900951188
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alaska Anchorage",0.1214181913,0.0978060325,0.1497843608
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alaska Anchorage",0.0664265347,0.0526284349,0.0835232768
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alaska Northern",0.1282213497,0.1010143499,0.1614402835
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alaska Northern",0.0701889762,0.056152923,0.0874085832
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alaska Northern",0.1092489181,0.0829830079,0.1425363129
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alaska Northern",0.0614608499,0.0464842961,0.0808534726
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Alaska South Central",0.1365304797,0.109356897,0.1691737411
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Alaska South Central",0.0591142756,0.0472129639,0.0737833145
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Alaska South Central",0.1145346877,0.087551407,0.1484809133
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Alaska South Central",0.0499420485,0.037685185,0.0659123307
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arizona",0.1250059422,0.1063069649,0.1464549948
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arizona",0.0642595177,0.0550812921,0.0748459761
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arizona",0.0839056137,0.0691246705,0.1015025365
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arizona",0.060922027,0.0507113282,0.073030479
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arizona Central",0.1210792753,0.0981683269,0.1484570622
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arizona Central",0.0610589656,0.0502151094,0.0740619307
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arizona Central",0.0812445977,0.06323471,0.1038154275
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arizona Central",0.0576045351,0.0457216072,0.0723416852
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arizona South A",0.1395674406,0.108136304,0.178307916
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arizona South A",0.075550888,0.0590193738,0.0962393416
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arizona South A",0.094295787,0.0700073514,0.125870371
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arizona South A",0.0723611273,0.0542352434,0.0959303825
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arizona North",0.1242134604,0.0943899111,0.1617767689
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arizona North",0.0618757132,0.0474334562,0.0803443724
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arizona North",0.0917475446,0.067745401,0.1231304445
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arizona North",0.0571102726,0.0417202684,0.0777170071
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arizona South",0.1343812881,0.1099960726,0.1631813188
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arizona South",0.072006634,0.0584853744,0.088360508
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arizona South",0.0863094293,0.0677941978,0.1092885167
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arizona South",0.0695528728,0.0545452731,0.0883040067
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arizona South B",0.1290700173,0.1006544623,0.1640442756
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arizona South B",0.06765819,0.051711587,0.0880656569
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arizona South B",0.0766956971,0.0568209174,0.1027648256
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arizona South B",0.0660960621,0.0484781653,0.0895143096
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas",0.1281493011,0.1099603583,0.1488437899
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas",0.0798391758,0.0693899873,0.0917068092
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas",0.1018226176,0.0859665649,0.1202185768
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas",0.0761798021,0.0644916143,0.0897830077
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 8",0.1303013359,0.1018222102,0.1652801392
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 8",0.0843130406,0.0664118232,0.1064891182
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 8",0.1067002941,0.0800455224,0.1408718156
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 8",0.0809732479,0.0615691066,0.1058033229
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 1",0.1301691608,0.100802745,0.1665065788
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 1",0.0820939614,0.0650696327,0.103081316
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 1",0.1016071206,0.0762501253,0.1341717993
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 1",0.0783917798,0.0596336676,0.1024077905
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 2",0.1325317782,0.1021194908,0.1702834884
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 2",0.0832332596,0.0643737402,0.1069862387
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 2",0.1163385928,0.0875275405,0.1530426323
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 2",0.0785755028,0.058372669,0.1049909272
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 3",0.1212401868,0.0947538412,0.1538717457
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 3",0.0760759936,0.0600705509,0.0959108345
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 3",0.0964600961,0.0730808337,0.126299507
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 3",0.0725986524,0.0552592057,0.094832788
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 4",0.1379923744,0.1078766555,0.1748674941
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 4",0.0784642713,0.0607020931,0.1008657589
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 4",0.097055177,0.0732891896,0.1274678691
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 4",0.0755307465,0.0561713677,0.1008493749
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 5",0.1311618408,0.1026257148,0.1661634771
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 5",0.0818955177,0.0650937456,0.1025583605
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 5",0.1072908716,0.0818119284,0.139499248
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 5",0.0770261045,0.0586650123,0.1005202287
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 6",0.1167427213,0.0898009969,0.1504314965
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 6",0.0671655733,0.0517653202,0.0867283762
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 6",0.0835612602,0.0619323674,0.1118431116
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 6",0.0643938336,0.0477620215,0.0862923818
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Arkansas Catchment Area 7",0.1166010988,0.0888469408,0.1515827925
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Arkansas Catchment Area 7",0.0737887612,0.0559696139,0.0966999081
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Arkansas Catchment Area 7",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Arkansas Catchment Area 7",0.0712618941,0.0519537299,0.0970114989
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California",0.1263268314,0.1161224647,0.1372886329
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California",0.0609726569,0.0561318393,0.0662016664
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California",0.1027429998,0.0929855196,0.1133963756
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California",0.0536032378,0.0483272423,0.0594192628
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 10",0.132256216,0.1056201811,0.1643749701
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 10",0.0654102063,0.0521056656,0.0818186687
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 10",0.1031581109,0.0796728188,0.1325690041
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 10",0.0579564941,0.0438640658,0.0762155676
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California LA SPA 1 and 5",0.1209291635,0.0953264019,0.1522510595
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California LA SPA 1 and 5",0.0675609113,0.0542149889,0.0839007134
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California LA SPA 1 and 5",0.1176443905,0.0916650882,0.1497725764
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California LA SPA 1 and 5",0.0587002973,0.0447302204,0.0766832437
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California LA SPA 2",0.1217048532,0.0984661419,0.149518467
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California LA SPA 2",0.0622056666,0.0503145373,0.076680185
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California LA SPA 2",0.1057462779,0.0834295127,0.1331653122
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California LA SPA 2",0.0551927944,0.0427474374,0.070992739
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California LA SPA 3",0.1178186783,0.0933950894,0.14758948
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California LA SPA 3",0.0523599537,0.0419044845,0.0652464835
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California LA SPA 3",0.0990316146,0.0766297141,0.1270811603
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California LA SPA 3",0.0443114877,0.0336728266,0.0581092261
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California LA SPA 4",0.1188475619,0.0925808423,0.1513238176
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California LA SPA 4",0.0681854268,0.0538934992,0.0859232033
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California LA SPA 4",0.1027275202,0.0790882674,0.13241651
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California LA SPA 4",0.0628756353,0.0475539608,0.0827052199
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 11 (Los Angeles)",0.1174130125,0.1046515101,0.1315021294
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 11 (Los Angeles)",0.0594786985,0.0533258965,0.0662917052
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 11 (Los Angeles)",0.1020404441,0.0898495731,0.1156751603
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 11 (Los Angeles)",0.0519356848,0.0453310709,0.0594426568
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California LA SPA 6",0.1109985448,0.0871728313,0.1403350775
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California LA SPA 6",0.056473621,0.0451098518,0.0704887544
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California LA SPA 6",0.0995078794,0.0757269612,0.1297088037
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California LA SPA 6",0.0457533535,0.0345116294,0.0604277392
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California LA SPA 7",0.1130216585,0.0896273459,0.1415726987
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California LA SPA 7",0.0528492996,0.042180516,0.0660305269
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California LA SPA 7",0.0938181296,0.0718365828,0.1216443603
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California LA SPA 7",0.0446513934,0.0336668738,0.0590010192
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California LA SPA 8",0.1173749331,0.0928035192,0.1473950682
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California LA SPA 8",0.0584876236,0.0470719883,0.0724611998
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California LA SPA 8",0.098225066,0.0757801049,0.1264086455
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California LA SPA 8",0.0518862752,0.0400782664,0.0669306358
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 12R",0.1385435974,0.1096846471,0.1735157547
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 12R",0.0600902748,0.0475194895,0.0757221556
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 12R",0.0914187814,0.0694252892,0.1194850643
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 12R",0.0543584257,0.0410983196,0.0715774652
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 15R (Fresno)",0.1288425786,0.10164793,0.1620008042
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 15R (Fresno)",0.0582637485,0.046367205,0.07297903
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 15R (Fresno)",0.0833290449,0.0635335316,0.1085772447
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 15R (Fresno)",0.052892713,0.0399953125,0.0696474383
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 16R (San Diego)",0.1231098749,0.1005072589,0.1499481383
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 16R (San Diego)",0.0614592708,0.0511000051,0.0737553882
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 16R (San Diego)",0.1026690589,0.0813884671,0.1287341042
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 16R (San Diego)",0.053876665,0.0430504093,0.0672342072
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 17R",0.1183500767,0.0950919196,0.1463766712
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 17R",0.0542515821,0.0436532484,0.0672421083
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 17R",0.0791758314,0.0609872162,0.1021985729
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 17R",0.0489605658,0.0375764151,0.0635658641
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 18R (San Bernardino)",0.1317786214,0.1067778015,0.1615742379
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 18R (San Bernardino)",0.0605647876,0.0490461599,0.0745764495
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 18R (San Bernardino)",0.0842606059,0.065085701,0.108429458
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 18R (San Bernardino)",0.0556129477,0.0431758034,0.0713655008
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 1R",0.1456943542,0.1154691479,0.1822015957
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 1R",0.0664747328,0.0532207643,0.0827409789
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 1R",0.1211022094,0.0936143503,0.1552785609
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 1R",0.0574175935,0.0438611723,0.0748360308
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 20R",0.1285545952,0.1018903779,0.160946231
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 20R",0.0605571098,0.0481246791,0.0759450592
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 20R",0.0842493329,0.064060628,0.110052377
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 20R",0.0557625273,0.0424407242,0.0729473806
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 14 (Orange)",0.1241342331,0.1002441538,0.1527511944
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 14 (Orange)",0.0611463966,0.0501701543,0.0743360862
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 14 (Orange)",0.1141683869,0.0902401484,0.1434410918
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 14 (Orange)",0.0521953474,0.0408250632,0.0665128008
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 21R",0.1257384316,0.0999973639,0.1569501661
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 21R",0.0615265168,0.0494154484,0.0763673846
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 21R",0.1025912136,0.0783428583,0.1332596571
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 21R",0.0533491184,0.0407600236,0.0695445697
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 2R",0.1407138382,0.1139445299,0.1725474389
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 2R",0.06676004,0.0534656231,0.0830700446
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 2R",0.1129604854,0.0872682532,0.1450148883
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 2R",0.0585577999,0.0447090877,0.0763533145
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 3R (Sacramento)",0.1304099684,0.1039390467,0.162400608
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 3R (Sacramento)",0.0585639659,0.0473054567,0.0722986133
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 3R (Sacramento)",0.095368225,0.0738495101,0.1223289971
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 3R (Sacramento)",0.0522717142,0.0403701829,0.0674353717
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 4R",0.135265072,0.108313968,0.1676613288
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 4R",0.0582037782,0.0468749249,0.0720636052
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 4R",0.1086163302,0.0834103771,0.1402736208
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 4R",0.0507820252,0.0390574779,0.065785184
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 5R (San Francisco)",suppressed,suppressed,suppressed
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 5R (San Francisco)",0.0709424843,0.0563816056,0.08890948
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 5R (San Francisco)",0.1345620547,0.1022815785,0.1750438755
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 5R (San Francisco)",0.0639850619,0.0490435227,0.0830809772
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 7R (Contra Costa)",0.1198865221,0.0948985323,0.1503611136
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 7R (Contra Costa)",0.059632261,0.0477699016,0.074210747
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 7R (Contra Costa)",0.1134794506,0.0878125238,0.1454523566
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 7R (Contra Costa)",0.0514558847,0.0392484212,0.0671946902
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 8R (Alameda)",0.1322887123,0.1039683658,0.1668865558
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 8R (Alameda)",0.0699197588,0.056390943,0.08639711
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 8R (Alameda)",0.1417802166,0.1099105128,0.1810116031
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 8R (Alameda)",0.0589453996,0.0454760835,0.0760861202
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 9R (San Mateo)",0.119384889,0.0941944511,0.1501949754
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 9R (San Mateo)",0.0562934405,0.0445177575,0.0709526814
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 9R (San Mateo)",0.122606555,0.094100175,0.1582401115
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 9R (San Mateo)",0.0479514041,0.0360910415,0.0634527869
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Regions 13 and 19R",0.1428296731,0.1158845218,0.1748013216
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Regions 13 and 19R",0.0630893508,0.0512588568,0.0774274759
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Regions 13 and 19R",0.0881927592,0.068923174,0.112200532
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Regions 13 and 19R",0.058111656,0.045419645,0.0740750894
Major Depressive Episode in the Past Year,12 to 17,2014-16,"California Region 6 (Santa Clara)",0.120368601,0.0962634797,0.1495112372
Major Depressive Episode in the Past Year,18 or Older,2014-16,"California Region 6 (Santa Clara)",0.056853886,0.0460644704,0.0699850416
Major Depressive Episode in the Past Year,18 to 25,2014-16,"California Region 6 (Santa Clara)",0.1155670304,0.0902532561,0.1468347502
Major Depressive Episode in the Past Year,26 or Older,2014-16,"California Region 6 (Santa Clara)",0.0481651588,0.0372644891,0.0620489976
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Colorado",0.1409181002,0.1224063724,0.1617135157
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Colorado",0.0749676427,0.0653813242,0.0858304437
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Colorado",0.1145769764,0.0970399525,0.1348101169
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Colorado",0.0683231848,0.0578153481,0.0805774741
Major Depressive Episode in the Past Year,12 to 17,2014-16,"Colorado Region 5",0.1228943936,0.094977876,0.1575875451
Major Depressive Episode in the Past Year,18 or Older,2014-16,"Colorado Region 5",0.0765482267,0.0605042876,0.0964099625
Major Depressive Episode in the Past Year,18 to 25,2014-16,"Colorado Region 5",0.1186397552,0.090521242,0.1540135805
Major Depressive Episode in the Past Year,26 or Older,2014-16,"Colorado Region 5",0.0699658313,0.052913869,0.0919792608
